GND,DESCRIÇÃO GND,CÓD CLASSE CATMAT/CATSER,DEMANDANTE,CLASSE,DESCRIÇÃO DO OBJETO,MÊS PRETENDIDO PARA A ENTREGA DA CONTRATAÇÃO,QUANTIDADE,VALOR UNITÁRIO,VALOR TOTAL,VALOR DE PRIORIDADE DEMANDANTE,PRIORIDADE DO DEMANDANTE,PRIORIDADE DA ÁREA TÉCNICA,CÓDIGO GND,,
33903022,MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO,7930,DIMAT,MATERIAL - EQUIPAMENTOS E MATERIAIS PARA LIMPEZA - COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO,"(ID 10503) - Produtos químicos para limpeza LIMPA VIDRO, Descrição: produto líquido, acondicionado em frasco com bico aplicador ou gatilho spray; indicado para limpeza de vidros, espelhos e superfícies vitrificadas, proporcionando remoção de sujeiras e secagem rápida sem deixar manchas; produto com notificação ou registro válido perante a autoridade sanitária competente, conforme legislação vigente. Unidade de fornecimento: frasco com volume mínimo de 500 ml.",AGOSTO,10,"R$ 6,00","R$ 60,00",12,100º,,,,
44905208,"APAR.EQUIP.UTENS.MED.,ODONT,LABOR.HOSPIT.",6530,PODON,"MATERIAL - EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO - MOBILIÁRIO, EQUIPAMENTOS, UTENSÍLIOS E SUPRIMENTOS HOSPITALARES","(ID 43935) PAPEL GRAU CIRÚRGICO 5 CM X 100 M, descrição: gramatura 60 a 70 g/m² rolo PAPEL GRAU CIRÚRGICO. Características: poliéster ou polipropileno, bobinas lisas, produzidas em papel grau cirúrgico e filme laminado(poliéster/polipropileno); indicado para esterilização em autoclave a vapor ou óxido de etileno; permeável ao vapor e ao ar, impermeável a microrganismos, resistentes ao calor, livres de nutrientes microbianos e resíduos tóxicos; com selagem tripla multilínea que proporciona maior segurança ao material esterilizado; dotado de indicadores químicos que mudam de cor após o processo de esterilização; toda a impressão do envelope deve situar-se na área externa de esterilização evitando a migração de tinta ao conteúdo a ser esterilizado. Tamanho/capacidade: 5 mm por 100m. Prazo de validade: 75% do prazo total 
 de validade do produto. Forma de apresentação/fornecimento/armazenagem: Rolo com 100 metros em embalagem (EMB) contendo 1 unidade. Medida: Embalagem",FEVEREIRO,40,"43,9","R$ 1.756,00",1,100º,,,,
44905208,"APAR.EQUIP.UTENS.MED.,ODONT,LABOR.HOSPIT.",6530,POMED,"MATERIAL - EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO - MOBILIÁRIO, EQUIPAMENTOS, UTENSÍLIOS E SUPRIMENTOS HOSPITALARES","(ID 44402) PINÇA LUCAE BAIONETA, Descrição: Modelo 2 Baioneta Lucae, Formato Ponta: Ponta Reta, Tipo Ponta: Serrilhada, Comprimento Total: 14,5 CM, Componente: S/ Cremalheira, Material: Aço Inoxidável, Esterilidade: Esterilizável. Medida: Unidade",JANEIRO,10,"39,41","R$ 394,10",2,100º,,,,
44905208,"APAR.EQUIP.UTENS.MED.,ODONT,LABOR.HOSPIT.",6530,GAEPH,"MATERIAL - EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO - MOBILIÁRIO, EQUIPAMENTOS, UTENSÍLIOS E SUPRIMENTOS HOSPITALARES","Conector tipo bico para oxigênio medicinal, destinado à ligação segura entre fonte de oxigênio e dispositivos de administração respiratória, confeccionado em material resistente e compatível com sistemas de oxigenoterapia.",DEZEMBRO,403,"7,84","R$ 3.159,52",80,100º,,,,
44905224,"EQUIPAMENTO DE PROTECAO, SEGURANCA E SOCORRO",4240,GBS,"MATERIAL - EQUIPAMENTO PARA COMBATE A INCÊNDIO, RESGATE E SEGURANÇA - EQUIPAMENTO PARA SEGURANÇA E SALVAMENTO","LONA DE PROTEÇÃO. Material destinado à proteção de superfícies, quinas e bordas, bem como à base de apoio para equipamentos durante operações. Deve ser confeccionada em material resistente, com reforços estruturais e ilhóses ou alças que garantam durabilidade e versatilidade de uso em atividades operacionais. Demais especificações conforme termo de referência.",,400,147,"R$ 58.800,00",76,100º,,,,
33903948,SERVICO DE SELECAO E TREINAMENTO,9290,COMAV,SERVIÇO - OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO - OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO,Balanceamento de Rotores AS350 Séries ou H125,JULHO,5,11500,"R$ 57.500,00",74,100º,,,,
33903948,SERVICO DE SELECAO E TREINAMENTO,9290,DIREN,SERVIÇO - OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO - OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO,"CUSTOS COM DIÁRIAS E PASSAGENS Ofício 934 (203544026) - 00053-00046552/2026-41 Curso Expedito de Supervisor de

Segurança de Aviação (C-Exp- SUPSAV) MB - São Pedro da Aldeia/RJ",,1,0,"R$ 0,00",7,100º,,,,
33903022,MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO,7930,DIMAT,MATERIAL - EQUIPAMENTOS E MATERIAIS PARA LIMPEZA - COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO,"(ID 17075) - Artigos e utensílios para limpeza DETERGENTE NEUTRO, Descrição: produto líquido, com pH neutro, acondicionado em frasco com bico dosador, indicado para lavagem de louças, utensílios e superfícies em geral laváveis; produto com notificação ou registro válido perante a autoridade sanitária competente, conforme legislação vigente. Unidade de fornecimento: frasco com volume mínimo de 500 ml.",AGOSTO,20,"R$ 7,00","R$ 140,00",12,101º,,,,
44905208,"APAR.EQUIP.UTENS.MED.,ODONT,LABOR.HOSPIT.",6530,PODON,"MATERIAL - EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO - MOBILIÁRIO, EQUIPAMENTOS, UTENSÍLIOS E SUPRIMENTOS HOSPITALARES","(ID 43936) PAPEL GRAU CIRÚRGICO 12 CM X 100 M, descrição: gramatura 60 a 70 g/m² rolo PAPEL GRAU CIRÚRGICO. Características: poliéster ou polipropileno, bobinas lisas, produzidas em papel grau cirúrgico e filme laminado(poliéster/polipropileno); indicado para esterilização em autoclave a vapor ou óxido de etileno; permeável ao vapor e ao ar, impermeável a microrganismos, resistentes ao calor, livres de nutrientes microbianos e resíduos tóxicos; com selagem tripla multilínea que proporciona maior segurança ao material esterilizado; dotado de indicadores químicos que mudam de cor após o processo de esterilização; toda a impressão do envelope deve situar-se na área externa de esterilização evitando a migração de tinta ao conteúdo a ser esterilizado. Tamanho/capacidade: 120 mm por 100 m. Prazo de validade: 75% do prazo total de validade do produto. Forma de apresentação/fornecimento/armazenagem: Rolo com 100 metros em embalagem (EMB) contendo 1 unidade. Medida: Embalagem",FEVEREIRO,40,"95,6","R$ 3.824,00",1,101º,,,,
44905208,"APAR.EQUIP.UTENS.MED.,ODONT,LABOR.HOSPIT.",6530,POMED,"MATERIAL - EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO - MOBILIÁRIO, EQUIPAMENTOS, UTENSÍLIOS E SUPRIMENTOS HOSPITALARES","(ID 44403) PINÇA MAGIL MÉDIA, Descrição: Modelo 1 Magill, Formato Ponta: Ponta Reta, Tipo Ponta: Serrilha C/ Fenestra, Haste: Haste Angulada, Comprimento Total: 20 CM, Componente: S/ Cremalheira, Material: Aço Inoxidável, Esterilidade: Esterilizável. Medida: Unidade",JANEIRO,3,"137,43","R$ 412,29",2,101º,,,,
