linha_csv;demandante;situacao;motivo;plano;numero_item;classe;valor_total;descricao
8;DIREN;bloqueado;valor zerado;;;9290;R$ 0,00;CUSTOS COM DIÁRIAS E PASSAGENS Ofício 934 (203544026) - 00053-00046552/2026-41 Curso Expedito de Supervisor
162;DIREN;bloqueado;valor zerado;;;9290;R$ 0,00;DRONE.GOV
191;DIREN;bloqueado;valor zerado;;;9290;R$ 0,00;CUSTOS COM DIÁRIAS E PASSAGENS Ofício 934 (203544026) - 00053-00046552/2026-41 Curso Expedito de Combustível de Aviação
243;DIREN;bloqueado;valor zerado;;;9290;R$ 0,00;CUSTOS COM DIÁRIAS E PASSAGENS Estudo interdisiplinar de Campo - Curso de Prevenção e Combate a Incêndio Florestal
286;DIREN;bloqueado;valor zerado;;;9290;R$ 0,00;CUSTOS COM DIÁRIAS E PASSAGENS Ofício 934 (203544026) - 00053-00046552/2026-41 Curso de Aperfeiçoamento em Aviônica MB
300;DIREN;bloqueado;valor zerado;;;9290;R$ 0,00;4º Seminário Drone Policial
314;DIREN;bloqueado;valor zerado;;;9290;R$ 0,00;Capacitação avançada para Especialistas Florestais
388;DIREN;bloqueado;valor zerado;;;9290;R$ 0,00;CUSTOS COM DIÁRIAS E PASSAGENS Ofício 934 (203544026) - 00053-00046552/2026-41 Curso de Básico de Busca e Salvamento
498;DIREN;bloqueado;valor zerado;;;9290;R$ 0,00;CUSTOS COM DIÁRIAS E PASSAGENS Ofício 934 (203544026) - 00053-00046552/2026-41 Curso Expedito de Agente de Segurança
528;DIREN;bloqueado;valor zerado;;;9290;R$ 0,00;CUSTOS COM DIÁRIAS E PASSAGENS Ofício 934 (203544026) - 00053-00046552/2026-41 Curso Expedito de Gestão de Manutenção
546;DIREN;bloqueado;valor zerado;;;9290;R$ 0,00;CUSTOS COM DIÁRIAS E PASSAGENS Ofício 934 (203544026) - 00053-00046552/2026-41 Curso Expedito de Técnicas de Ensino
555;DIREN;bloqueado;valor zerado;;;9290;R$ 0,00;Brasil Gov Summit 2027
562;DIREN;bloqueado;valor zerado;;;9290;R$ 0,00;CUSTOS COM DIÁRIAS E PASSAGENS Ofício 934 (203544026) - 00053-00046552/2026-41 Curso Expedito de Combate à Incêndio (C
568;DIREN;bloqueado;valor zerado;;;9290;R$ 0,00;CUSTOS COM DIÁRIAS E PASSAGENS Ofício 934 (203544026) - 00053-00046552/2026-41 Curso Expedito de Combate a Incêndio
